sub_category,median_reviews_nov,occurrence_count,prop_nov_years,cluster,median_reviews_nov_scaled,occurrence_count_scaled
Chocolate,4.812184355372417,1,0.0625,0,2.307368496208243,-1.0511533309952017
Kites & Flight Toys,4.605170185988092,3,0.1875,0,2.1253614505283385,-0.14204774743178403
Accessories,4.406719247264253,7,0.4375,0,1.9508832050200653,1.6761634196950514
Garden Tools,4.110873864173311,1,0.0625,0,1.6907756755955652,-1.0511533309952017
Disney,4.007333185232471,5,0.3125,0,1.599742616661674,0.7670578361316337
Blackboards,3.970291913552122,1,0.0625,0,1.5671758969689227,-1.0511533309952017
Star Wars,3.912023005428146,7,0.4375,0,1.5159458200414364,1.6761634196950514
Unknown,3.8127975360662267,8,0.5,0,1.4287066972873,2.13071621147676
Card Games,3.8066624897703196,7,0.4375,0,1.423312759013662,1.6761634196950514
Hasbro,3.7587604253015154,6,0.375,0,1.381197220440313,1.2216106279133425
Toy Vehicles & Accessories,3.699393137709974,8,0.5,0,1.3290014472876763,2.13071621147676
Toy Trains & Accessories,3.6375861597263857,5,0.3125,0,1.274660696127251,0.7670578361316337
"Banners, Stickers & Confetti",3.5773076784568314,4,0.25,0,1.221663800665593,0.3125050443499248
Schoolbags & Backpacks,3.5263605246161616,1,0.0625,0,1.1768710167517302,-1.0511533309952017
Children's Craft Kits,3.5211430859698716,6,0.375,0,1.1722838399567717,1.2216106279133425
Science Fiction & Fantasy,3.5047044663543185,6,0.375,0,1.1578309906654367,1.2216106279133425
Colouring Pens & Markers,3.4011973816621555,3,0.1875,0,1.0668274678254843,-0.14204774743178403
Trivia & Quiz Games,3.4011973816621555,3,0.1875,0,1.0668274678254843,-0.14204774743178403
Dice & Dice Games,3.1883634739493134,4,0.25,0,0.8797037029231535,0.3125050443499248
Jigsaws,3.1780538303479458,5,0.3125,0,0.8706394549082553,0.7670578361316337
Decorations,2.995732273553991,5,0.3125,0,0.7103421766373061,0.7670578361316337
Costumes,2.9444389791664403,5,0.3125,0,0.6652450656403495,0.7670578361316337
Paper & Stickers,2.8173948015846246,6,0.375,0,0.5535477093614599,1.2216106279133425
Crayola,2.6390573296152584,3,0.1875,0,0.39675324208561363,-0.14204774743178403
Educational Games,2.4849066497880004,7,0.4375,0,0.26122382442135383,1.6761634196950514
Hand Puppets,2.4849066497880004,7,0.4375,0,0.26122382442135383,1.6761634196950514
Model Trains & Railway Sets,2.4849066497880004,5,0.3125,0,0.26122382442135383,0.7670578361316337
Soft Dolls,2.4414009612931853,4,0.25,0,0.22297358359599778,0.3125050443499248
Trading Cards & Accessories,2.3937458713910233,8,0.5,0,0.18107518528587963,2.13071621147676
Dominoes & Tile Games,2.2975599250672953,6,0.375,0,0.09650841394663649,1.2216106279133425
Chess,2.1242476210246792,4,0.25,0,-0.05586792112544161,0.3125050443499248
